year,IEA_FloorArea_billion_m2,IEA_AdvEcon_FloorArea_billion_m2,IEA_DevEmergEcon_FloorArea_billion_m2,IEA_Total_FloorArea_billion_m2,China_Stat_accum_new_floor_space_compl_billion_m2,Beijing_Stat_accum_new_floor_space_compl_million_m2,Shanghai_Stat_accum_new_floor_space_compl_million_m2
1985,NA,NA,NA,NA,0.2,NA,51
1986,NA,NA,NA,NA,0.3,NA,60
1987,NA,NA,NA,NA,0.5,NA,68
1988,NA,NA,NA,NA,0.7,NA,77
1989,NA,NA,NA,NA,0.9,NA,84
1990,NA,NA,NA,NA,1.1,2.72,92
1991,NA,NA,NA,NA,1.3,5.47,100
1992,NA,NA,NA,NA,1.6,8.78,108
1993,NA,NA,NA,NA,1.9,12.34,120
1994,NA,NA,NA,NA,2.2,16.8,135
1995,NA,NA,NA,NA,2.6,23.33,150
1996,NA,NA,NA,NA,3,29.96,165
1997,NA,NA,NA,NA,3.6,36.78,183
1998,NA,NA,NA,NA,4.2,45.2,202
1999,NA,NA,NA,NA,4.9,57.29,222
2000,149.7,NA,NA,NA,5.7,70.95,241
2001,154.3,NA,NA,NA,6.7,88.02,265
2002,159,NA,NA,NA,7.8,111.86,291
2003,163.6,NA,NA,NA,9.1,137.8,327
2004,169.2,NA,NA,NA,10.6,168.47,374
2005,174.8,NA,NA,NA,12.2,206.18,430
2006,179.7,NA,NA,NA,14,238.12,495
2007,184.8,NA,NA,NA,16,267.03,556
2008,189.7,NA,NA,NA,18.2,292.61,614
2009,194.1,NA,NA,NA,20.7,319.4,671
2010,198.3,74,124,198,23.5,343.27,733
2011,201.8,NA,NA,NA,26.7,365.72,793
2012,205.8,NA,NA,NA,30.3,389.63,858
2013,210.9,NA,NA,NA,34.3,416.29,920
2014,213.9,NA,NA,NA,38.5,446.83,996
2015,218.5,79,139,218,42.7,473.15,1069
2016,223.9,NA,NA,NA,46.9,496.97,1144
2017,229,NA,NA,NA,51.1,511.64,1224
2018,231.9,NA,NA,NA,55.2,517.22,1303
2019,235.8,83,152,235,59.2,530.65,1395
2020,238.2,84,154,238,63,546.11,NA
2021,241.9,85,157,242,67.1,NA,NA
