mua_objectid,mua_aggname_short,mua_country_code,mua_country,mua_mean_lon,mua_mean_lat,mua_cell_count,mua_worldpop_thousands,mua_area_m2,region_1,economy,sub_regions
1555,Algiers,12,Algeria,3.132446809,36.71329787,47,3353,606560384,Africa,other,NorthAfrica
1330,Annaba,12,Algeria,7.728846154,36.85961538,13,403,122149000,Africa,other,NorthAfrica
131,Batna,12,Algeria,6.175,35.56071429,7,314,84799792,Africa,other,NorthAfrica
1299,Blida,12,Algeria,2.832692308,36.50192308,13,452,118642128,Africa,other,NorthAfrica
333,El-Djelfa,12,Algeria,3.275,34.675,9,346,75615560,Africa,other,NorthAfrica
1142,Oran,12,Algeria,-0.577941176,35.68382353,17,1165,211766368,Africa,other,NorthAfrica
876,Qacentina,12,Algeria,6.610714286,36.34404762,21,672,252034032,Africa,other,NorthAfrica
462,Huambo,24,Angola,15.74318182,-12.77045455,11,230,134792960,Africa,other,CentralAfrica
649,Luanda,24,Angola,13.26666667,-8.906944444,36,6692,659632000,Africa,other,CentralAfrica
650,Lubango,24,Angola,13.50681818,-14.92954545,11,277,136427168,Africa,other,CentralAfrica
9,Cotonou+,204,Benin,2.410483871,6.408870968,31,1637,459973088,Africa,other,WestAfrica
170,Bobo-Dioulasso,854,Burkina_Faso,-4.3,11.175,12,330,199219904,Africa,other,WestAfrica
811,Ouagadougou,854,Burkina_Faso,-1.51637931,12.36637931,29,2725,509805248,Africa,other,WestAfrica
197,Bujumbura+,108,Burundi,29.30535714,-3.401785714,28,910,288351872,Africa,other,EastAfrica
1416,Bafoussam,120,Cameroon,10.425,5.475,9,155,127033504,Africa,other,CentralAfrica
110,Bamenda,120,Cameroon,10.16875,5.96875,8,137,113947448,Africa,other,CentralAfrica
322,Douala,120,Cameroon,9.725,4.043421053,19,1803,262349584,Africa,other,CentralAfrica
648,Loum,120,Cameroon,9.73125,4.71875,8,8,55534272,Africa,other,CentralAfrica
1318,Mbouda,120,Cameroon,10.26071429,5.625,7,30,71218336,Africa,other,CentralAfrica
1187,Yaounde,120,Cameroon,11.51547619,3.872619048,21,3124,311240064,Africa,other,CentralAfrica
115,Bangui,140,Central_African_Republic,18.54285714,4.378571429,14,845,148188640,Africa,other,CentralAfrica
768,N'Djamena,148,Chad,15.05543478,12.12717391,23,1028,354795872,Africa,other,CentralAfrica
847,Pointe-Noire,178,Congo,11.89423077,-4.794230769,13,348,186469888,Africa,other,CentralAfrica
198,Bukavu,180,Congo_DRC,28.86388889,-2.508333333,9,667,72357232,Africa,other,CentralAfrica
200,Bunia,180,Congo_DRC,30.25,1.575,6,138,82720352,Africa,other,CentralAfrica
1351,Goma,180,Congo_DRC,29.21944444,-1.663888889,9,500,105873200,Africa,other,CentralAfrica
