mua_country_code,mua_country_name_short,region_1,economy,sub_regions
4,Afghanistan,OtherAsia,other,CentralAsia
8,Albania,Europe,other,Europe
12,Algeria,Africa,other,NorthAfrica
24,Angola,Africa,other,CentralAfrica
32,Argentina,LatAmerCarib,other,LatAmerCarib
51,Armenia,Europe,other,Europe
36,Australia,AustraliaNZ,advanced,AustraliaNZ
40,Austria,Europe,advanced,Europe
31,Azerbaijan,OtherAsia,other,CentralAsia
48,Bahrain,MiddleEast,other,MiddleEast
50,Bangladesh,OtherAsia,other,SouthAsia
112,Belarus,Europe,other,Europe
56,Belgium,Europe,advanced,Europe
204,Benin,Africa,other,WestAfrica
68,Bolivia,LatAmerCarib,other,LatAmerCarib
70,Bosnia_Herzegovina,Europe,other,Europe
76,Brazil,LatAmerCarib,other,LatAmerCarib
100,Bulgaria,Europe,advanced,Europe
854,Burkina_Faso,Africa,other,WestAfrica
108,Burundi,Africa,other,EastAfrica
116,Cambodia,SEAsia,other,SEAsia
120,Cameroon,Africa,other,CentralAfrica
124,Canada,NorAmer,advanced,NorAmer
140,Central_African_Republic,Africa,other,CentralAfrica
148,Chad,Africa,other,CentralAfrica
152,Chile,LatAmerCarib,advanced,LatAmerCarib
156,China,China,other,China
344,China_Hong_Kong,EastAsia,other,EastAsia
170,Colombia,LatAmerCarib,advanced,LatAmerCarib
178,Congo,Africa,other,CentralAfrica
180,Congo_DRC,Africa,other,CentralAfrica
188,Costa_Rica,LatAmerCarib,advanced,LatAmerCarib
191,Croatia,Europe,advanced,Europe
192,Cuba,LatAmerCarib,other,LatAmerCarib
203,Czech_Republic,Europe,advanced,Europe
208,Denmark,Europe,advanced,Europe
262,Djibouti,Africa,other,EastAfrica
214,Dominican_Republic,LatAmerCarib,other,LatAmerCarib
218,Ecuador,LatAmerCarib,other,LatAmerCarib
818,Egypt,Africa,other,NorthAfrica
222,El_Salvador,LatAmerCarib,other,LatAmerCarib
232,Eritrea,Africa,other,EastAfrica
233,Estonia,Europe,advanced,Europe
231,Ethiopia,Africa,other,EastAfrica
246,Finland,Europe,advanced,Europe
250,France,Europe,advanced,Europe
266,Gabon,Africa,other,CentralAfrica
